userId,movieId,rating,timestamp
432,77866,4.5,1335139641
288,474,3.0,978465565
599,4351,3.0,1498524542
42,2987,4.0,996262677
75,1610,4.0,1158989841
51,177,4.0,1230930634
354,51662,3.5,1200869930
416,750,4.5,1187495659
438,6503,0.5,1105654319
73,8641,3.5,1464197978
567,1203,4.5,1525283592
391,1179,4.0,1031030437
380,111362,5.0,1493474096
305,55276,5.0,1460136738
409,3868,4.0,968985606
307,6957,3.5,1186085807
274,26736,4.5,1239123373
125,6952,3.0,1474415234
561,1278,3.5,1491094620
68,6953,2.5,1158533556
525,50872,3.5,1476478189
414,3847,2.0,966612823
6,587,5.0,845553381
601,48394,4.0,1521467754
325,32,4.0,1039396494
82,5065,3.0,1084465558
16,204,2.0,1377476617
542,4816,1.5,1163388683
32,39,3.0,856737205
140,2682,4.0,977403325
182,5643,3.0,1054781376
89,42761,4.5,1520409141
359,541,1.5,1198112228
183,1408,4.0,992331493
111,119155,3.5,1516152412
80,2513,4.0,1377307812
448,117590,2.0,1446908340
514,1258,4.0,1535943481
68,1101,3.5,1158533140
325,80,4.0,1039397611
509,1588,3.5,1436000408
131,31,3.0,1349838570
45,2355,5.0,950728148
156,3167,3.0,946800232
440,1199,4.5,1237569063
312,5065,3.0,1043176981
57,2102,4.0,965796031
603,2020,4.0,953927590
337,778,4.0,860255929
116,356,4.0,1337199672
122,63113,4.5,1461561761
201,185,3.0,941211804
167,318,5.0,1154722100
139,60072,1.5,1453925062
68,628,3.5,1158534567
16,293,4.0,1377477870
448,99992,3.0,1374953846
450,1073,4.0,974706008
178,380,4.0,1164355018
599,59369,2.5,1498518401
581,4226,4.5,1447007261
215,1347,0.5,1260905513
610,4228,3.0,1493847574
81,288,3.0,845299800
414,2120,2.0,961518176
340,185,3.0,848666415
323,111443,2.5,1422640855
232,586,3.0,1218167353
186,3740,3.0,1031073228
28,1245,3.5,1234338202
195,4067,4.0,1002764403
414,86190,4.0,1511537178
596,141131,2.5,1535712067
561,1394,4.0,1491092758
602,448,3.0,840876417
202,2983,4.0,974924755
195,553,4.0,974706168
200,44761,5.0,1229878699
387,5296,1.5,1117414752
